seed,test,frame,baseline_mpjpe,experiment_mpjpe,delta_mpjpe,improves_mpjpe,baseline_pa_mpjpe,experiment_pa_mpjpe,delta_pa_mpjpe,improves_pa_mpjpe,baseline_pck100,experiment_pck100,delta_pck100,improves_pck100
0,video1,body,90.54204824492298,88.00935406636555,-2.532694178557435,True,69.07667237491836,65.64505113855726,-3.431621236361096,True,67.3502418940825,68.55983875413799,1.209596860055484,True
0,video2,body,106.27213678318533,97.38697052255128,-8.885166260634051,True,83.37371586541877,74.32846034848994,-9.045255516928833,True,56.2258828607102,61.290289431362176,5.064406570651975,True
0,video3,body,83.46087318121542,80.78858670867155,-2.672286472543874,True,64.818430463419,63.478282803755825,-1.340147659663181,True,72.87849052731494,72.77638819409705,-0.10210233321788564,False
0,video4,body,93.1477876727886,92.42495929541668,-0.7228283773719113,True,70.71660825665577,69.89745729475466,-0.8191509619011157,True,66.0446542297943,66.09605951871482,0.05140528892052032,True
0,video5,body,92.59015420764426,92.48266638284251,-0.10748782480175123,True,72.62487242514777,72.2639330495568,-0.36093937559097355,True,70.06702840727736,69.76779444621768,-0.29923396105968436,False
0,video6,body,86.26899861754819,84.79010867385682,-1.478889943691371,True,69.42825243390917,69.8730761574618,0.44482372355263067,False,67.6536439907005,68.41579904983321,0.7621550591327093,True
1,video1,body,87.157133468476,85.02914196099152,-2.127991507484481,True,67.32287375731794,64.60869343896307,-2.714180318354863,True,68.7267494644948,69.0646172054595,0.33786774096469685,True
1,video2,body,97.74316339332718,100.64872863764077,2.9055652443135926,False,73.67787277658249,75.89279361761575,2.214920841033262,False,61.70365270291794,58.694244770659175,-3.0094079322587675,False
1,video3,body,84.37565998684782,80.9770402013005,-3.398619785547325,True,64.11993252528349,63.226016093496845,-0.8939164317866428,True,72.67916009286695,72.78588011954696,0.10672002668000857,True
1,video4,body,102.38608548512842,96.0963960289409,-6.289689456187517,True,74.96204474429864,70.70999531751292,-4.252049426785717,True,64.92614604673071,66.15607456045946,1.2299285137287512,True
1,video5,body,92.83577848440602,91.20951667065758,-1.6262618137484424,True,72.48853059422419,71.78362383895441,-0.704906755269775,True,69.70495531439515,69.72031599106288,0.01536067666772567,True
1,video6,body,89.0346035480645,85.81549444265245,-3.219109105412045,True,71.57433584458565,69.92910112772947,-1.64523471685618,True,67.0034367734762,67.77367835843525,0.7702415849590523,True
2,video1,body,86.1423211327257,81.93821016864673,-4.204110964078964,True,65.39671036264717,62.75539141934783,-2.641318943299339,True,67.86235430085908,69.61997465991942,1.7576203590603399,True
2,video2,body,106.43357175512557,98.45146086861648,-7.982110886509091,True,83.06646892811385,74.87652936612578,-8.18993956198807,True,57.70232706309121,62.44508614089804,4.742759077806831,True
2,video3,body,88.01015007759686,79.65313644130578,-8.357013636291086,True,66.53766455731805,62.87095590791361,-3.666708649404441,True,71.36799168815176,73.10013981349648,1.7321481253447217,True
2,video4,body,93.5217090435729,94.45932298177176,0.9376139381988651,False,69.63604894522176,70.12024445840727,0.4841955131855116,False,65.08846521026788,66.16772304957445,1.079257839306564,True
2,video5,body,94.00038367787376,93.96292265488444,-0.037461022989319304,True,73.22971667113003,72.59909062888708,-0.6306260422429517,True,69.28283593999362,69.46417172039578,0.18133578040216491,True
2,video6,body,87.9568484968496,86.29860895221685,-1.6582395446327496,True,69.87615691567132,69.47449109508275,-0.40166582058856193,True,66.92130799555241,67.34711412109571,0.42580612554330344,True
