seed,test,frame,baseline_mpjpe,experiment_mpjpe,delta_mpjpe,improves_mpjpe,baseline_pa_mpjpe,experiment_pa_mpjpe,delta_pa_mpjpe,improves_pa_mpjpe,baseline_pck100,experiment_pck100,delta_pck100,improves_pck100
0,video1,body,90.54204824492298,85.90046400000314,-4.641584244919841,True,69.07667237491836,65.83235583932763,-3.244316535590727,True,67.3502418940825,68.94019285773896,1.589950963656463,True
0,video2,body,106.27213678318533,96.78084957226743,-9.491287210917903,True,83.37371586541877,74.3632002638372,-9.010515601581574,True,56.2258828607102,62.257544072386096,6.031661211675896,True
0,video3,body,83.46087318121542,80.48326196205409,-2.977611219161332,True,64.818430463419,63.013710308027676,-1.8047201553913297,True,72.87849052731494,72.79229358268879,-0.08619694462615257,False
0,video4,body,93.1477876727886,94.02991370955611,0.8821260367675166,False,70.71660825665577,72.2528358140319,1.5362275573761224,False,66.0446542297943,66.21558314615562,0.17092891636131924,True
0,video5,body,92.59015420764426,92.53002323301232,-0.06013097463194583,True,72.62487242514777,72.6303333326007,0.005460907452928154,False,70.06702840727736,69.66785030322374,-0.3991781040536182,False
0,video6,body,86.26899861754819,84.97435951407259,-1.2946391034756033,True,69.42825243390917,69.47803562932432,0.0497831954151593,False,67.6536439907005,68.33720812695846,0.6835641362579565,True
1,video1,body,87.157133468476,82.90331883348533,-4.253814634990675,True,67.32287375731794,63.38402064176357,-3.938853115554366,True,68.7267494644948,69.3637920090233,0.637042544528498,True
1,video2,body,97.74316339332718,101.20492689687414,3.461763503546962,False,73.67787277658249,76.4672133262659,2.7893405496834163,False,61.70365270291794,59.25404499982017,-2.449607703097776,False
1,video3,body,84.37565998684782,83.15706753550698,-1.2185924513408395,True,64.11993252528349,63.086216386284406,-1.0337161389990825,True,72.67916009286695,72.18994112440836,-0.48921896845858726,False
1,video4,body,102.38608548512842,95.99637901538682,-6.389706469741597,True,74.96204474429864,72.69860328825617,-2.2634414560424716,True,64.92614604673071,65.88588025859646,0.9597342118657508,True
1,video5,body,92.83577848440602,93.3846109858754,0.5488325014693771,False,72.48853059422419,72.63414233025314,0.14561173602895394,False,69.70495531439515,68.9897861474625,-0.7151691669326539,False
1,video6,body,89.0346035480645,85.9125642140974,-3.122039333967095,True,71.57433584458565,70.4792622495653,-1.0950735950203523,True,67.0034367734762,67.52122713029415,0.5177903568179545,True
2,video1,body,86.1423211327257,81.51667245292946,-4.625648679796242,True,65.39671036264717,63.32343392606832,-2.073276436578851,True,67.86235430085908,69.53651930474102,1.6741650038819387,True
2,video2,body,106.43357175512557,100.73064717823948,-5.70292457688609,True,83.06646892811385,78.08199032653525,-4.984478601578601,True,57.70232706309121,60.0699814513187,2.3676543882274856,True
2,video3,body,88.01015007759686,78.53041005912762,-9.479740018469244,True,66.53766455731805,62.11198799452985,-4.425676562788205,True,71.36799168815176,72.98803247777735,1.620040789625591,True
2,video4,body,93.5217090435729,95.62199834619454,2.100289302621647,False,69.63604894522176,71.96222269986048,2.3261737546387167,False,65.08846521026788,65.98387950397695,0.8954142937090666,True
2,video5,body,94.00038367787376,93.44691539599903,-0.5534682818747285,True,73.22971667113003,72.77844651938554,-0.45127015174449525,True,69.28283593999362,69.3119613788701,0.029125438876477006,True
2,video6,body,87.9568484968496,84.84464835330131,-3.112200143548293,True,69.87615691567132,69.28288979046259,-0.593267125208726,True,66.92130799555241,68.12443141615283,1.20312342060042,True
