t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.419,-0.0392181,-9.83977,4.46059,-0.00326107,-67.3928,27.0043
55.424,-0.120485,-9.74873,4.513,-1.71127,-73.1614,34.4177
55.429,-0.130502,-9.67731,4.40921,-3.22408,-78.5274,41.8021
55.433,-0.197499,-9.56348,4.36005,-4.31865,-84.2409,48.7153
55.438,-0.252744,-9.46134,4.31756,-5.36265,-90.5224,55.0248
55.443,-0.360648,-9.31608,4.27898,-6.75497,-96.822,61.0389
55.448,-0.556644,-9.1908,4.18507,-7.62515,-102.697,66.8395
55.453,-0.708671,-9.07805,4.15306,-7.7684,-108.065,72.2541
55.458,-0.850977,-8.97352,4.07246,-7.65691,-113.06,77.2175
55.463,-1.01038,-8.88053,4.01872,-7.40765,-117.666,81.9686
55.468,-1.15833,-8.7312,3.94783,-7.17832,-122.077,86.225
55.472,-1.2805,-8.54754,3.89187,-6.65799,-126.099,89.7344
55.477,-1.45576,-8.38226,3.82839,-6.09764,-129.735,92.7172
55.482,-1.63048,-8.20629,3.76559,-5.23807,-132.655,94.9468
55.487,-1.77954,-8.01111,3.71883,-4.30002,-134.771,96.5268
55.492,-1.96659,-7.86404,3.71604,-3.26295,-136.295,97.7499
55.497,-2.15438,-7.71045,3.678,-2.51061,-137.278,98.4155
55.502,-2.22041,-7.57291,3.66184,-1.78571,-137.567,98.513
55.507,-2.33834,-7.39983,3.66894,-1.00346,-137.446,98.1377
55.512,-2.48075,-7.27551,3.65061,-0.220557,-136.721,97.2936
55.516,-2.59756,-7.14826,3.63358,0.633141,-135.314,95.9933
55.521,-2.63463,-7.06182,3.58654,1.36261,-133.627,94.2657
55.526,-2.68717,-6.98605,3.61986,2.23198,-131.374,92.1097
55.531,-2.73264,-6.95443,3.63186,2.88476,-128.679,89.6249
55.536,-2.76037,-6.86803,3.64711,3.58892,-125.502,86.8466
55.541,-2.75863,-6.85203,3.69952,4.18706,-121.816,83.8824
55.546,-2.77081,-6.83585,3.69105,4.64365,-117.651,80.8271
55.551,-2.72314,-6.82594,3.66587,4.77032,-113.275,77.7183
55.555,-2.73009,-6.78411,3.65551,5.05811,-108.558,74.2713
