t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.446,-0.0369017,-10.4169,4.42031,66.512,-48.6909,38.9638
55.452,-0.0538324,-10.3321,4.33057,66.5656,-47.9612,38.6335
55.456,-0.0330573,-10.2419,4.28892,66.7833,-47.3589,38.1158
55.462,-0.00711007,-10.1114,4.25402,67.0219,-46.3364,37.8872
55.467,-0.0137043,-9.9683,4.26796,67.2539,-45.4963,37.9763
55.471,-0.016537,-9.84995,4.22548,67.4803,-44.8614,38.2992
55.477,-0.00520393,-9.71396,4.20997,67.6653,-44.2285,38.667
55.481,-0.0032356,-9.56064,4.19318,67.8461,-43.6644,39.2768
55.487,0.0450793,-9.43431,4.15263,67.8,-43.2143,40.0042
55.491,0.110903,-9.31866,4.10813,67.7991,-42.512,40.6194
55.497,0.13313,-9.17771,4.11597,67.6309,-41.7734,41.5806
55.501,0.118424,-9.04133,4.13514,67.7272,-41.1689,42.4468
55.506,0.110067,-8.92777,4.1395,67.8029,-40.4859,43.3809
55.512,0.122147,-8.75607,4.10032,67.5714,-39.8076,44.4471
55.516,0.172724,-8.62509,4.01644,67.2368,-39.0553,45.6708
55.522,0.163428,-8.49459,3.98813,66.8067,-38.0691,46.6517
55.526,0.136466,-8.37654,3.95599,66.297,-36.9959,47.5634
55.532,0.141536,-8.27287,3.90702,65.5034,-36.0731,48.289
55.536,0.0793446,-8.18153,3.86064,65.0142,-35.0782,49.1327
55.542,0.0542536,-8.11582,3.76894,64.4455,-34.3364,49.6414
55.547,0.0675901,-8.00901,3.7017,64.0591,-33.5741,50.2361
55.552,0.0438033,-7.94239,3.63083,63.4913,-32.8548,50.6615
55.557,0.0263643,-7.8719,3.566,62.7828,-32.1537,50.9561
55.561,-0.0203964,-7.78697,3.55308,61.9782,-31.3774,50.9164
55.567,-0.0625035,-7.7436,3.51635,61.2929,-30.8219,50.893
55.571,-0.0700195,-7.63699,3.45593,60.7537,-30.202,50.675
55.577,-0.060804,-7.53587,3.4498,59.9034,-29.8366,50.6562
55.581,-0.0983166,-7.50564,3.41667,58.9709,-29.6567,50.5525
55.587,-0.0647412,-7.39702,3.38773,58.1025,-29.4391,50.2605
55.592,-0.0654595,-7.332,3.37722,57.2936,-29.4115,49.9309
55.597,-0.0833639,-7.35163,3.38581,56.2607,-29.565,49.4691
55.602,-0.0956075,-7.31661,3.37622,55.3496,-29.8259,48.948
55.607,-0.0685276,-7.26167,3.31259,54.3784,-30.0556,48.3732
55.612,-0.0501768,-7.25263,3.26475,53.2489,-30.2927,47.4857
55.617,-0.00819736,-7.21843,3.2595,52.0809,-30.2595,46.6589
55.623,-0.0175718,-7.22776,3.23736,50.7884,-30.3917,45.8754
55.628,0.0230974,-7.24783,3.16955,49.3996,-30.4486,44.7574
55.633,0.0348867,-7.21069,3.15615,47.7475,-30.394,43.6512
55.638,0.0701199,-7.18399,3.1704,45.994,-30.3104,42.536
55.643,0.0737363,-7.16596,3.15505,44.1226,-30.2097,41.1467
55.648,0.0785478,-7.18439,3.13903,42.228,-29.9632,40.0754
55.653,0.134342,-7.17713,3.15173,40.175,-29.7242,38.6914
55.658,0.166206,-7.18798,3.14799,37.858,-29.5324,37.2277
55.664,0.216785,-7.1926,3.18139,35.54,-29.3181,35.8474
55.669,0.253466,-7.1952,3.1825,33.0642,-28.9526,34.2457
55.674,0.256232,-7.22357,3.19019,30.594,-28.382,32.4099
55.679,0.249774,-7.23813,3.18352,28.043,-27.8607,30.4971
55.684,0.274292,-7.23415,3.14764,25.3089,-26.9974,28.8476
55.689,0.241416,-7.26618,3.18748,22.4949,-26.206,27.0378
55.694,0.28374,-7.31483,3.20459,19.4969,-25.3901,25.3087
55.699,0.283899,-7.43329,3.212,16.2977,-24.72,23.3037
55.705,0.307934,-7.57278,3.2078,13.0548,-24.1658,21.4189
55.71,0.329773,-7.74537,3.21952,9.89181,-23.8797,19.4286
55.715,0.375539,-7.89986,3.24768,6.82913,-23.6,17.5305
55.72,0.474866,-8.06596,3.31818,3.68513,-23.5285,15.4642
55.725,0.495773,-8.33654,3.31773,0.398946,-23.6113,13.259
55.73,0.547027,-8.56024,3.3541,-2.95052,-23.7544,11.1589
55.735,0.584119,-8.80975,3.46744,-6.38172,-23.9243,9.06495
55.74,0.642764,-9.11583,3.48052,-9.89519,-24.2798,6.88618
55.745,0.741831,-9.43072,3.56307,-13.2665,-24.8208,4.58008
55.751,0.760551,-9.65436,3.64116,-16.5361,-25.2319,2.37437
55.756,0.81963,-9.89098,3.6776,-19.4828,-25.6044,0.385245
55.761,0.897403,-10.0539,3.80662,-22.5483,-25.9371,-1.79464
55.766,0.94364,-10.2539,3.87864,-26.1264,-26.1491,-3.61063
55.771,1.01231,-10.4598,3.93848,-29.6074,-26.4588,-5.17556
55.776,1.07088,-10.6574,4.04156,-33.0889,-26.5873,-6.56589
55.781,1.08276,-10.7985,4.10434,-36.1491,-26.9785,-7.74652
55.786,1.12985,-10.8639,4.11197,-38.6795,-27.3202,-8.93454
55.792,1.13966,-10.8384,4.11575,-41.333,-27.6909,-10.0714
55.797,1.16215,-10.8052,4.13159,-44.1734,-27.9696,-10.8776
55.802,1.16181,-10.8106,4.1506,-47.4271,-28.4514,-11.41
55.807,1.22362,-10.9057,4.22253,-51.0263,-29.0073,-12.0159
55.811,1.26435,-11.0364,4.28634,-54.6117,-29.824,-12.3723
55.817,1.28276,-11.2263,4.41145,-58.3678,-31.0357,-12.49
55.821,1.39678,-11.4346,4.53908,-61.7853,-32.8545,-12.5742
55.827,1.45751,-11.6464,4.70216,-64.9459,-34.9673,-12.3527
55.831,1.50526,-11.8099,4.80997,-67.4775,-37.3544,-12.2289
55.837,1.60452,-11.8142,5.01222,-69.8135,-40.1406,-11.8611
55.842,1.6784,-11.7865,5.11436,-72.1324,-43.0963,-11.4028
55.846,1.73585,-11.767,5.24657,-74.4156,-46.2549,-10.7552
55.852,1.74772,-11.8014,5.39281,-77.0036,-49.6441,-10.3169
55.856,1.8432,-11.8386,5.49864,-79.838,-53.0914,-9.7764
55.862,1.88469,-11.8804,5.58054,-82.3745,-56.6494,-8.80029
55.866,1.9209,-11.8315,5.65545,-84.5811,-60.1673,-8.09957
55.872,1.95143,-11.7572,5.81118,-86.948,-63.6477,-7.5448
55.876,1.94937,-11.6462,5.93208,-89.2587,-67.0693,-6.60309
55.881,1.96357,-11.4685,6.08428,-91.208,-70.7226,-5.50529
55.887,1.93975,-11.2483,6.24914,-93.0356,-74.4829,-4.46655
55.891,1.9252,-10.9554,6.38046,-94.4998,-78.18,-3.17268
55.897,1.87326,-10.5683,6.52101,-95.5644,-81.8579,-1.34308
55.901,1.84824,-10.17,6.68692,-96.2259,-85.9465,0.423076
55.907,1.78625,-9.8296,6.82244,-96.437,-89.5585,2.37871
55.911,1.72384,-9.45796,6.9004,-96.4023,-92.9314,4.40668
55.917,1.66945,-9.10283,6.96536,-95.9172,-95.8278,6.62407
55.922,1.64037,-8.71574,6.84657,-95.066,-98.0485,9.3786
55.927,1.55238,-8.38696,6.78144,-93.7564,-99.474,12.0131
55.932,1.53887,-8.0365,6.66218,-91.9504,-100.193,14.6416
55.936,1.52266,-7.71278,6.48694,-90.0564,-100.182,17.3868
55.942,1.56405,-7.46726,6.35452,-88.0744,-99.7805,19.983
