t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.438,-1.24541,10.3273,-0.134122,-18.7988,103.638,-12.5122
55.443,-1.34121,10.1693,-0.124538,-21.7285,111.572,-15.0146
55.448,-1.50407,10.0016,-0.0335306,-24.1089,119.08,-17.6392
55.453,-1.64298,9.87227,-0.00478728,-25.6958,126.038,-20.3247
55.458,-1.75794,9.73336,0.0670612,-26.9165,132.507,-22.8271
55.463,-1.89685,9.6136,0.124538,-27.9541,138.55,-25.3296
55.468,-2.0214,9.43638,0.17244,-28.8696,144.226,-27.4658
55.472,-2.12678,9.23519,0.186812,-29.2969,149.292,-29.1748
55.477,-2.28006,9.04359,0.229927,-29.541,153.809,-30.5786
55.482,-2.43334,8.84241,0.268245,-29.2969,157.41,-31.6772
55.487,-2.56746,8.63165,0.277819,-28.8086,160.034,-32.5317
55.492,-2.74948,8.47837,0.277819,-28.1372,161.987,-33.3252
55.497,-2.92193,8.30593,0.306563,-27.5879,163.208,-33.7524
55.502,-2.98419,8.16702,0.287404,-26.9165,163.574,-33.9355
55.507,-3.10394,7.99937,0.249086,-26.062,163.391,-33.8745
55.512,-3.23807,7.86525,0.25866,-25.0854,162.476,-33.6304
55.516,-3.34824,7.73112,0.25866,-23.9258,160.767,-33.2642
55.521,-3.37219,7.63053,0.277819,-22.7661,158.63,-32.5928
55.526,-3.43446,7.56826,0.234714,-21.3623,155.823,-31.7993
55.531,-3.48235,7.53952,0.22513,-20.0806,152.466,-30.8228
55.536,-3.51588,7.46288,0.186812,-18.6768,148.56,-29.7852
55.541,-3.53026,7.46767,0.134122,-17.334,144.104,-28.7476
55.546,-3.53984,7.44851,0.13891,-16.1133,139.16,-27.771
55.551,-3.48715,7.43415,0.143697,-15.1978,133.972,-26.7334
55.555,-3.49194,7.39103,0.13891,-14.0381,128.357,-25.5737
55.561,-3.47278,7.37666,0.105379,-12.8784,122.559,-24.231
55.565,-3.46319,7.36708,0.100592,-11.7187,116.76,-22.7661
55.571,-3.49194,7.41977,0.105379,-10.498,110.779,-21.2402
55.575,-3.49194,7.47725,0.162866,-9.09424,104.797,-19.7754
55.581,-3.48715,7.53473,0.182025,-7.44629,98.7549,-18.2495
55.586,-3.46799,7.62574,0.296978,-6.16455,92.7124,-16.6016
55.59,-3.43446,7.75507,0.387995,-4.88281,86.792,-15.1367
55.596,-3.39135,7.92751,0.440685,-3.60107,81.3599,-13.4888
55.6,-3.31471,7.98978,0.469428,-2.62451,76.416,-12.085
55.606,-3.19496,8.08079,0.464631,-2.19727,72.2656,-10.9863
55.61,-3.08957,8.12391,0.526905,-1.77002,69.0308,-10.0708
55.616,-2.89797,8.07122,0.632284,-0.793457,66.7725,-9.27734
55.62,-2.80696,8.10475,0.670602,0.671387,65.4297,-8.11768
55.625,-2.81175,8.15744,0.74246,2.50244,64.5142,-6.5918
55.631,-2.82612,8.27719,0.833467,4.21143,63.4155,-5.00488
55.635,-2.83571,8.4161,0.82868,5.49316,62.1948,-3.54004
55.641,-2.79259,8.56938,0.876573,6.34766,61.4014,-2.50244
55.645,-2.7399,8.72266,0.852626,6.7749,60.791,-1.70898
55.651,-2.62494,8.7035,0.823883,6.65283,60.852,-1.28174
55.655,-2.59141,8.67955,0.785565,6.53076,61.4624,-1.09863
55.661,-2.58662,8.62207,0.804724,6.53076,62.2559,-0.610352
55.666,-2.58662,8.59333,0.819096,7.20215,63.3545,0.183105
55.671,-2.58662,8.6556,0.823883,8.48389,64.3921,1.2207
55.676,-2.56746,8.81846,0.780778,9.64355,65.2466,2.50244
55.68,-2.5962,9.03401,0.766406,10.6201,65.7349,3.35693
55.686,-2.61537,9.17772,0.756822,11.1084,66.1621,4.08936
55.69,-2.6489,9.32141,0.96759,11.5967,66.2842,4.69971
55.696,-2.71595,9.47469,1.10171,12.5732,65.979,5.67627
55.7,-2.8405,9.67109,1.35559,14.2212,64.7583,6.65283
55.706,-2.92193,9.99681,1.62862,16.1743,62.6221,7.93457
55.711,-3.01772,10.3656,1.79626,17.7002,60.2417,9.09424
55.715,-3.01772,10.7584,1.86812,18.6157,57.4951,9.8877
55.721,-2.93629,11.0554,1.84896,18.6768,54.6875,10.1318
55.725,-2.91234,11.247,1.75794,18.3105,52.3682,10.0098
55.731,-2.83571,11.2901,1.66215,17.8223,50.415,9.8877
55.735,-2.75428,11.2949,1.5376,17.6392,49.0112,9.64355
55.741,-2.73032,11.2566,1.47534,17.8223,47.9126,9.58252
55.745,-2.76385,11.2231,1.3939,18.6157,46.5698,9.8877
55.75,-2.79738,11.3524,1.36995,19.7144,45.105,10.9253
55.755,-2.85487,11.5009,1.35559,20.9351,43.0908,11.7187
55.76,-2.95066,11.6733,1.43701,21.9116,40.4663,12.6953
55.765,-3.01294,11.8649,1.4897,22.3999,37.1094,13.6719
55.77,-3.07041,12.0709,1.56634,22.9492,33.4473,14.1602
55.775,-3.10874,12.2769,1.65735,23.3765,29.7241,14.7095
55.78,-3.14227,12.4445,1.70525,23.8647,25.8179,15.5029
55.785,-3.15663,12.6649,1.73878,24.5361,21.8506,16.2354
55.79,-3.14706,12.9331,1.7819,25.2075,17.5781,17.1509
55.794,-3.18059,13.2301,1.81063,25.6348,13.1836,17.6392
55.799,-3.14227,13.5606,1.79147,26.062,8.48389,18.1885
55.804,-3.1231,13.8336,1.83459,26.062,4.02832,18.4326
55.809,-3.15185,14.0779,1.90165,25.6348,-0.671387,18.3105
55.814,-3.16143,14.2599,1.825,24.8413,-5.24902,17.9443
55.819,-3.16622,14.3318,1.79626,23.6206,-9.58252,17.334
55.824,-3.18059,14.3366,1.825,22.3389,-13.6719,16.5405
55.829,-3.15185,14.351,1.7771,21.1182,-17.6392,16.0522
55.833,-3.1279,14.3462,1.77231,20.2026,-21.3013,15.8081
55.838,-3.15185,14.2935,1.80106,19.5923,-24.7803,15.3809
55.843,-3.15663,14.3031,1.81063,18.7988,-28.0762,14.7705
55.848,-3.15185,14.327,1.88249,17.6392,-31.25,14.0991
55.853,-3.18059,14.2552,1.89685,16.1133,-33.6914,13.3057
55.858,-3.19016,14.1785,1.91602,14.4043,-35.8276,11.7187
55.863,-3.16622,14.0013,1.98787,12.3901,-37.5366,10.1929
55.867,-3.22369,13.7809,1.99744,10.376,-38.3911,8.17871
55.872,-3.26681,13.5223,2.00703,8.05664,-38.8794,5.79834
55.877,-3.30991,13.1726,2.0166,5.67627,-38.8794,3.05176
55.882,-3.34344,12.7846,2.0214,3.479,-38.4521,0.061035
55.887,-3.39613,12.4158,1.97828,1.2207,-37.7808,-3.17383
55.892,-3.44404,12.0278,1.9256,-0.732422,-36.9873,-6.34766
55.897,-3.42488,11.7069,1.91602,-2.56348,-36.438,-9.70459
55.902,-3.40093,11.3859,1.88728,-4.08936,-35.8276,-13.2446
55.906,-3.35782,11.1321,1.88249,-5.43213,-35.4614,-16.7236
55.911,-3.34344,10.95,1.84416,-6.89697,-35.1562,-20.2637
55.916,-3.28597,10.7536,1.78669,-8.66699,-34.9731,-24.1089
55.921,-3.171,10.6099,1.61903,-10.6201,-34.8511,-28.3813
55.926,-2.9794,10.4614,1.47534,-12.7563,-34.3628,-32.5928
55.931,-2.85965,10.4088,1.35079,-15.0757,-33.6914,-36.6821
55.936,-2.77822,10.3225,1.19272,-16.9678,-33.1421,-40.5884
55.941,-2.73512,10.3177,0.972377,-18.6157,-32.8369,-44.3115
55.946,-2.7399,10.3992,0.847839,-20.6909,-33.1421,-47.3022
55.95,-2.62973,10.5189,0.747247,-23.0713,-34.3018,-50.0488
55.956,-2.65847,10.7201,0.531692,-25.6958,-36.3159,-52.2461
55.961,-2.62973,10.9548,0.402367,-28.8696,-39.2456,-54.1992
55.965,-2.57704,11.2039,0.378411,-32.5317,-42.7856,-56.2744
55.971,-2.53872,11.4338,0.292191,-36.1328,-46.875,-57.9224
55.975,-2.51477,11.6685,0.201183,-39.3677,-51.6968,-59.021
55.981,-2.44292,12.0134,0.134122,-42.7856,-56.3354,-59.9976
55.985,-2.32796,12.3487,0.0862201,-46.6919,-60.9131,-60.9131
55.991,-2.22737,12.684,0.105379,-50.9033,-65.1245,-61.4014
55.995,-2.11719,12.7511,-0.0287433,-56.2134,-68.7256,-60.73
56,-1.98787,12.775,0,-60.1196,-72.0215,-60.3027
56.006,-1.80106,12.9618,0.0191589,-62.0117,-73.3032,-60.6689
56.01,-1.55197,13.2972,-0.124538,-64.4531,-72.937,-60.852
56.016,-1.5376,13.4983,-0.239501,-68.4204,-72.2046,-60.2417
56.02,-1.55197,13.5031,-0.114963,-72.998,-70.1904,-61.0352
56.026,-1.32205,13.4648,0.0574768,-75.8057,-65.7959,-64.4531
56.03,-1.04902,13.3738,0.210758,-76.416,-57.6782,-68.1152
56.035,-0.938846,13.254,0.364039,-75.8667,-46.2646,-70.7397
56.041,-1.1065,13.0912,0.421526,-74.8901,-32.5928,-73.1201
56.046,-1.37953,12.8948,0.392783,-73.8525,-19.165,-76.4771
56.051,-1.66215,12.7032,0.325721,-73.1812,-7.99561,-79.7729
56.055,-1.88728,12.5786,0.273032,-72.8149,-0.427246,-81.604
56.061,-1.9735,12.3918,0.263448,-73.3643,3.72314,-82.5195
56.065,-1.98307,12.0853,0.205971,-75.0122,5.7373,-83.374
