t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.417,-3.89909,-11.2566,-1.14961,9.15527,-77.3315,51.2695
55.422,-3.89909,-11.156,-1.21188,10.376,-77.2705,50.5981
55.427,-3.87993,-11.0506,-1.25499,11.5967,-76.9653,49.9878
55.432,-3.83203,-10.9788,-1.33163,12.6343,-76.7212,49.6216
55.436,-3.7506,-10.883,-1.35079,13.5498,-76.355,49.3164
55.442,-3.66438,-10.7345,-1.39869,14.3433,-75.9888,49.1943
55.446,-3.64522,-10.6147,-1.44659,14.7095,-75.5005,48.9502
55.452,-3.58774,-10.5093,-1.48012,15.0146,-74.7681,49.0723
55.456,-3.53984,-10.4231,-1.45618,15.564,-74.1577,49.1333
55.462,-3.49194,-10.3034,-1.40827,15.9302,-73.2422,49.5605
55.467,-3.50152,-10.174,-1.346,16.0522,-72.5708,50.1099
55.471,-3.46799,-10.0543,-1.32684,15.9912,-72.1436,50.7202
55.477,-3.44404,-9.92975,-1.27415,15.8691,-71.7163,51.3306
55.481,-3.42488,-9.78605,-1.22146,15.564,-71.4111,52.063
55.487,-3.35782,-9.67588,-1.16398,15.0146,-71.167,52.6733
55.491,-3.27638,-9.58008,-1.10171,14.5874,-70.6787,53.3447
55.497,-3.26202,-9.46032,-1.02507,13.7939,-70.1904,54.1382
55.501,-3.28118,-9.33578,-0.96759,13.2446,-69.8853,54.9927
55.506,-3.28597,-9.23041,-0.924475,12.6343,-69.519,55.9082
55.512,-3.24285,-9.06754,-0.871785,11.7187,-69.0918,56.7017
55.516,-3.14227,-8.943,-0.838255,10.6201,-68.6035,57.5561
55.522,-3.1231,-8.81368,-0.809521,9.64355,-67.8101,58.2886
55.526,-3.11353,-8.68913,-0.799937,8.66699,-66.8945,58.96
55.532,-3.07041,-8.58375,-0.785565,7.62939,-65.979,59.2651
55.536,-3.07521,-8.46879,-0.819096,6.71387,-65.1245,59.8755
55.542,-3.02251,-8.37778,-0.866998,5.98144,-64.3921,60.1196
55.547,-2.96025,-8.2676,-0.857414,5.31006,-63.7207,60.5469
55.552,-2.92193,-8.18138,-0.890944,4.63867,-62.9883,60.73
55.557,-2.8836,-8.09516,-0.9149,3.96728,-62.1948,60.73
55.561,-2.90276,-7.99937,-0.919687,3.479,-61.2183,60.4858
55.567,-2.90276,-7.93709,-0.953218,3.05176,-60.4858,60.2417
55.571,-2.85965,-7.82213,-0.953218,2.86865,-59.6924,59.9976
55.577,-2.84528,-7.73112,-0.910103,2.31934,-59.082,59.5703
55.581,-2.84528,-7.68322,-0.943634,1.77002,-58.5937,58.96
55.587,-2.79738,-7.58743,-0.895741,1.40381,-58.0444,58.2886
55.592,-2.78781,-7.52515,-0.876573,1.09863,-57.6782,57.5561
55.597,-2.80696,-7.53952,-0.890944,0.732422,-57.373,56.5186
55.602,-2.80696,-7.5012,-0.890944,0.488281,-57.1899,55.481
55.607,-2.7399,-7.44372,-0.890944,0.244141,-56.9458,54.3823
55.612,-2.692,-7.42935,-0.905316,0.12207,-56.5796,52.9785
55.617,-2.65847,-7.41019,-0.866998,-0.061035,-55.9692,51.6968
55.623,-2.6489,-7.41019,-0.890944,-0.366211,-55.481,50.293
55.628,-2.57225,-7.42456,-0.9149,-0.488281,-54.8096,48.645
55.633,-2.55309,-7.39103,-0.900529,-0.793457,-53.9551,46.875
55.638,-2.53872,-7.38145,-0.857414,-1.15967,-53.0395,45.0439
55.643,-2.52435,-7.36229,-0.857414,-1.40381,-52.0019,42.9687
55.648,-2.50998,-7.37666,-0.871785,-1.89209,-50.9033,41.1377
55.653,-2.48124,-7.39103,-0.823883,-2.2583,-49.6826,39.0015
55.658,-2.45729,-7.41019,-0.809521,-2.74658,-48.4009,36.6211
55.664,-2.44771,-7.43893,-0.756822,-3.2959,-47.1191,34.3018
55.669,-2.42376,-7.4533,-0.732876,-3.78418,-45.5933,31.7993
55.674,-2.42855,-7.48204,-0.737663,-4.08936,-43.8232,29.2358
55.679,-2.42855,-7.49162,-0.752035,-4.39453,-42.0532,26.5503
55.684,-2.38544,-7.48684,-0.756822,-5.00488,-39.978,24.0479
55.689,-2.43813,-7.51557,-0.766406,-5.5542,-37.9028,21.3623
55.694,-2.42376,-7.57784,-0.747247,-6.28662,-35.7666,18.6157
55.699,-2.43334,-7.68801,-0.790352,-6.95801,-33.6304,15.5029
55.705,-2.41897,-7.82213,-0.833467,-7.75146,-31.6162,12.3901
55.71,-2.41897,-7.98978,-0.88137,-8.42285,-29.8462,9.15527
55.715,-2.41418,-8.15265,-0.895741,-9.09424,-28.1372,6.04248
55.72,-2.4046,-8.35383,-0.852626,-9.70459,-26.5503,2.68555
55.725,-2.39981,-8.6077,-0.948431,-10.3149,-25.0244,-0.915527
55.73,-2.39981,-8.83762,-0.981961,-11.0474,-23.5596,-4.5166
55.735,-2.46687,-9.10587,-0.986749,-11.8408,-22.0947,-8.17871
55.74,-2.44771,-9.40763,-1.06338,-12.6343,-20.752,-12.0239
55.745,-2.4525,-9.74773,-1.07297,-13.2446,-19.5923,-15.9302
55.751,-2.50519,-9.97765,-1.10171,-13.855,-18.3716,-19.6533
55.756,-2.5004,-10.2219,-1.13524,-14.4043,-17.2729,-23.0103
55.761,-2.5483,-10.4279,-1.06818,-14.8926,-16.0522,-26.5503
55.766,-2.57704,-10.6435,-1.07297,-15.9912,-14.6484,-30.1514
55.771,-2.58184,-10.8686,-1.07297,-17.2119,-13.4277,-33.5693
55.776,-2.62494,-11.0937,-1.04902,-18.5547,-12.085,-36.8042
55.781,-2.66806,-11.2422,-1.0586,-19.7754,-11.1694,-39.7339
55.786,-2.6441,-11.3189,-1.04902,-20.6299,-10.376,-42.2974
55.792,-2.63931,-11.2997,-1.02985,-21.6064,-9.58252,-44.9219
55.797,-2.63452,-11.2805,-0.991536,-22.9492,-8.72803,-47.4243
55.802,-2.6489,-11.2901,-0.981961,-24.7803,-7.99561,-50.1099
55.807,-2.66326,-11.4147,-0.934059,-26.7944,-7.20215,-53.1006
