t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.437,-10.8472,-4.59518,22.4383,-18.8238,-78.5809,39.7476
55.443,-10.7559,-4.84875,21.136,5.89204,-62.6509,44.7759
55.447,-10.372,-5.35341,19.9396,27.3182,-41.7919,47.7315
55.452,-9.95791,-8.56542,19.6123,44.4263,-18.3235,51.0497
55.458,-9.4791,-14.0774,19.1256,58.1437,3.19832,66.4624
55.462,-4.88931,-9.41869,17.0304,78.0341,21.9449,67.0112
55.468,-2.04656,-7.45285,13.8921,93.5382,49.3205,61.7385
55.472,-1.17671,-9.75403,5.32098,92.9583,77.5496,55.0034
55.478,2.80294,-13.7555,-6.12168,65.8744,79.0706,39.9804
55.482,11.6379,-17.5146,-11.9247,32.4827,46.1729,31.1463
55.488,20.0164,-17.7187,-10.7552,25.3241,2.59592,37.4828
55.493,22.7971,-13.6181,-8.38603,48.3778,-13.9953,46.1844
55.498,18.8209,-7.38818,-4.4761,72.1351,12.637,39.0715
55.503,11.8411,-3.94606,1.54967,71.1036,56.1726,16.317
55.507,7.46297,-4.67338,6.51139,60.0703,89.1655,-3.27592
55.512,6.53237,-7.8205,9.71704,57.9765,107.857,-9.63919
55.517,6.96085,-11.2498,11.745,65.3948,117.448,-4.15334
55.522,6.52996,-13.2111,12.6979,75.7905,121.501,8.59679
55.527,4.54042,-13.1772,12.7523,82.4466,116.486,24.3727
55.532,1.61585,-12.2284,11.443,82.2712,105.519,40.0173
55.537,-1.13402,-11.2767,9.4152,76.6772,100.474,49.8366
55.542,-1.99053,-10.6149,8.03391,70.6006,101.558,52.7005
55.547,-1.11732,-10.0879,6.81058,65.9589,103.551,49.4592
55.551,-0.437814,-9.34941,5.62698,62.5842,104.093,44.225
55.556,0.241614,-8.80028,4.60603,60.6973,102.504,41.3858
55.561,0.534234,-8.69387,3.94157,60.4356,99.8208,42.7484
55.566,0.369155,-8.66301,2.53429,58.674,96.5299,45.1451
55.571,0.0158475,-8.86013,0.866377,54.4629,96.5568,44.8764
55.576,-0.74481,-9.32319,0.0880365,49.7329,102.946,41.0561
55.581,-1.87076,-9.54665,0.284107,45.6472,111.471,35.4152
55.586,-1.73091,-9.7559,1.02987,43.1044,117.131,29.0218
55.59,-1.84618,-9.47879,2.77972,43.5331,120.555,22.9066
55.595,-2.74502,-8.89741,4.63408,45.3048,118.475,19.8765
55.6,-3.21137,-8.58768,5.24821,45.6317,107.962,20.4154
55.605,-3.02856,-8.59737,5.1164,47.0151,93.9176,24.2076
55.61,-2.54919,-8.94846,5.12244,50.5185,78.1932,30.3846
55.615,-1.7884,-9.32853,4.72145,54.1892,62.3958,37.1472
